frame,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_hip_x,r_hip_y,r_hip_z,l_hip_x,l_hip_y,l_hip_z
0,0.47803881764411926,0.3863365054130554,-0.1221255511045456,0.4200833737850189,0.449790894985199,-0.20832625031471252,0.5257307887077332,0.4738124907016754,-0.3950861096382141,0.6354949474334717,0.3993252217769623,0.024250028654932976,0.6419273614883423,0.4638858437538147,0.09250957518815994,0.6673871874809265,0.5116105675697327,-0.09528806805610657,0.5368514060974121,0.5404379963874817,-0.0070632100105285645,0.62483811378479,0.5305228233337402,0.007289091590791941
1,0.4780545234680176,0.3881816267967224,-0.1962069571018219,0.4053729176521301,0.4523150324821472,-0.2775527536869049,0.5144999623298645,0.47264498472213745,-0.470786452293396,0.6408631205558777,0.40138712525367737,-0.047137774527072906,0.6481666564941406,0.4698827862739563,0.09242924302816391,0.6720125079154968,0.5112396478652954,-0.042771633714437485,0.5319356918334961,0.5413569808006287,-0.01720985397696495,0.6195580363273621,0.5363565683364868,0.017381304875016212
2,0.47804751992225647,0.3881363272666931,-0.24313108623027802,0.3983865976333618,0.4523159861564636,-0.31794530153274536,0.5090604424476624,0.47163039445877075,-0.5114394426345825,0.6470023393630981,0.40279096364974976,-0.11278988420963287,0.6529839634895325,0.4715248942375183,0.050055794417858124,0.6732507944107056,0.5109578967094421,-0.055786456912755966,0.5288875102996826,0.5411288142204285,-0.02026883326470852,0.6183487772941589,0.5364960432052612,0.020451029762625694
3,0.4769402742385864,0.390769898891449,-0.2776062488555908,0.3948461413383484,0.45845603942871094,-0.37323278188705444,0.5047165751457214,0.47074833512306213,-0.6401208639144897,0.6503726243972778,0.4061667025089264,-0.07249891757965088,0.6566140651702881,0.4745818078517914,0.13156172633171082,0.677436351776123,0.5117956399917603,0.0014023111434653401,0.5235769152641296,0.5451157093048096,-0.034650497138500214,0.6174790859222412,0.5423675775527954,0.0348053015768528
4,0.48049864172935486,0.3921007215976715,-0.3544415235519409,0.3976651132106781,0.4578120708465576,-0.41700050234794617,0.5056023001670837,0.47071701288223267,-0.6371318101882935,0.6563471555709839,0.40771618485450745,-0.12973164021968842,0.6635528802871704,0.47440218925476074,0.12232110649347305,0.6800500154495239,0.5125853419303894,0.0024652916472405195,0.524389922618866,0.5449672937393188,-0.041067395359277725,0.6184320449829102,0.5416650176048279,0.04110775142908096
5,0.48311442136764526,0.39366382360458374,-0.26750802993774414,0.39859721064567566,0.4586394429206848,-0.3777927756309509,0.5069776773452759,0.4706375002861023,-0.46245747804641724,0.6599898934364319,0.40988093614578247,-0.01909233257174492,0.6657861471176147,0.4773019850254059,0.20562227070331573,0.6821073889732361,0.5131961107254028,0.09583259373903275,0.5237289071083069,0.5508729219436646,-0.05798724666237831,0.6188265681266785,0.5491319894790649,0.05803942680358887
6,0.48368334770202637,0.39404264092445374,-0.3112052381038666,0.39859822392463684,0.45937997102737427,-0.3905550241470337,0.5078738927841187,0.47049203515052795,-0.557852029800415,0.6616734862327576,0.4122685492038727,-0.04534084349870682,0.6663178205490112,0.4801226556301117,0.1768621951341629,0.6826571822166443,0.5146776437759399,0.08018163591623306,0.5235048532485962,0.5556379556655884,-0.061414893716573715,0.6202830672264099,0.5562206506729126,0.061484213918447495
7,0.48362740874290466,0.3943471610546112,-0.1926536113023758,0.3989335000514984,0.4608030319213867,-0.2637508809566498,0.5118535161018372,0.47086939215660095,-0.35967493057250977,0.6601813435554504,0.41443294286727905,0.04382465034723282,0.6649682521820068,0.482734352350235,0.20924587547779083,0.6828596591949463,0.5148906111717224,0.1026974469423294,0.5177050828933716,0.5620642900466919,-0.05500752478837967,0.6177178621292114,0.5604572892189026,0.055070940405130386
8,0.4836600422859192,0.39600658416748047,-0.12021832913160324,0.3992342948913574,0.462165892124176,-0.207638680934906,0.5169124007225037,0.47088366746902466,-0.3819144070148468,0.6600592136383057,0.4158298969268799,0.05618370324373245,0.6639718413352966,0.4863024353981018,0.19945576786994934,0.6829224824905396,0.5146575570106506,-0.05460337549448013,0.52372807264328,0.5624561905860901,-0.0307213943451643,0.6179018020629883,0.559490442276001,0.031026437878608704
9,0.4842991828918457,0.3959594964981079,-0.158178448677063,0.39951756596565247,0.46171408891677856,-0.256456196308136,0.5206046104431152,0.47181233763694763,-0.483145534992218,0.6629220843315125,0.4177267551422119,0.020858198404312134,0.6709892749786377,0.48912182450294495,0.15556788444519043,0.6827324032783508,0.5148152112960815,-0.025968562811613083,0.5239296555519104,0.5610908269882202,-0.013540048152208328,0.6222350001335144,0.5567174553871155,0.0136703597381711
