frame,shoulder_x,shoulder_y,shoulder_z,elbow_x,elbow_y,elbow_z,wrist_x,wrist_y,wrist_z
0,0.4780374801495452,0.38633752197268595,-0.12217106867375369,0.4200837863730344,0.4497926152304601,-0.20838041697412782,0.5257335102480256,0.47381336686509656,-0.3951401178204421
1,0.47747333002850983,0.3875054086396632,-0.1848862024214155,0.40667979679619964,0.4518634315966344,-0.26608807471138324,0.5155329353030635,0.47255904642260915,-0.47185020876433115
2,0.47742150787410914,0.38890579791576635,-0.2446707048993219,0.3979833653555186,0.4542029018258578,-0.32458010562860695,0.5083349320864313,0.47153635731673826,-0.5499002279455945
3,0.478392790956342,0.3905294074788514,-0.29544531807906177,0.39537528872905575,0.456466337191899,-0.37791436697558206,0.5052582765411326,0.4709244341533561,-0.6052634278973789
4,0.4803446555216596,0.3920993966555725,-0.32409081203926726,0.3966196505597679,0.4580781018353951,-0.40954930105541276,0.5052746689022377,0.4707140871113271,-0.6046845004782097
5,0.48238954955361274,0.3933365108291146,-0.31421363194140534,0.39845217970238367,0.45901553740400675,-0.4000856599825601,0.5066135242294278,0.4706563778437292,-0.545088973215832
6,0.48357260057685014,0.3942214442615023,-0.262706978760242,0.3991875613662273,0.4597729813638309,-0.3474588439103517,0.5084403547770597,0.4705120377671082,-0.4654863335699887
7,0.4838704915494423,0.39490267628178655,-0.19474227052252321,0.39910635635253355,0.46063555614496776,-0.27965598313475865,0.5113623154637371,0.4704421752930331,-0.41512252855214005
8,0.4840202361799047,0.3954319933168787,-0.15245795620607946,0.3990821166164936,0.4614461848582425,-0.2374354424208862,0.5163739928972595,0.47101806371153887,-0.4101562174166466
9,0.48439392240970913,0.39577786584625924,-0.1581767459448592,0.39940668785235,0.4621088478755429,-0.23807616004825832,0.5231914468339703,0.47261607264980277,-0.42310206582779214
10,0.4844846990847887,0.3960340083752378,-0.19133569744147122,0.39982978630388466,0.4628474179587098,-0.2604044937383783,0.5297175440717364,0.4747911157531415,-0.4164372419972544
11,0.4836927722393154,0.39636299189889707,-0.2099951170463083,0.4002062830454944,0.4637611605969607,-0.2688590760603419,0.5335902424475335,0.47647744490193367,-0.3816523113871219
12,0.4822565522698747,0.3967356891393573,-0.19432535999658224,0.4007548800905309,0.4644970786958215,-0.24925794823437725,0.5344312613234148,0.47693789609736603,-0.34107308452430396
13,0.4809360005882048,0.3969953546311534,-0.16387336131829175,0.4017004117829902,0.4647404556492516,-0.22063452989432233,0.5342373651300742,0.4764443521157791,-0.3212216091019628
14,0.4798050960365722,0.39724640090265667,-0.15311674975416154,0.4028119540993303,0.46486617329889235,-0.2145330882646669,0.5353608839880868,0.47601560836479434,-0.3325950660246144
15,0.47782610398306313,0.39790396337851186,-0.17394849151550779,0.4033995503787309,0.46565739147754653,-0.2416656708920283,0.538227429311086,0.47655991445023177,-0.3654136869963253
16,0.4738960604804027,0.39917378576929213,-0.20320921397739436,0.4028709083751484,0.4673013700583656,-0.27861327457018364,0.5410018441068761,0.47819592988779147,-0.3960013329343001
17,0.4681751727697534,0.4006789817499557,-0.20605055362693497,0.40137030878842017,0.4690246838542429,-0.2902053316342334,0.5413209308941493,0.48022285610154875,-0.4044811551026904
18,0.4621546192344173,0.4018510858396769,-0.1707473714893161,0.3997063189653088,0.4699248998248384,-0.26424641153129697,0.5382736363782153,0.48169058645122975,-0.39256821663733465
19,0.4572696301454885,0.40261118163616,-0.12133307316484701,0.3982634573426498,0.46993233558141023,-0.22146039302035836,0.5324611647144794,0.482148539723103,-0.3796724263479625
20,0.4534265863888788,0.40343584924880976,-0.09686706050659072,0.3958436093944485,0.46975230637998505,-0.19424309494218708,0.5240092478361317,0.48208187221872306,-0.3813091876722959
21,0.4491429109967445,0.4047339076034078,-0.11592919866033019,0.38999052485392294,0.4700202009783043,-0.19949769504055917,0.511390386547665,0.4826665805397729,-0.3985397681813412
22,0.443351533963293,0.4063128135694531,-0.15874902377487154,0.37911834751693274,0.47069599177213894,-0.2284172948689035,0.49342610397578135,0.48481945275208826,-0.4261847531596013
23,0.4367705185664663,0.4075321984068723,-0.1861741087618531,0.36465977560080837,0.4712129941572329,-0.25656650023654337,0.47198156227092236,0.48822663350863954,-0.4584545620585333
24,0.4310490222716294,0.40793582357880015,-0.177979385926003,0.35071705803418907,0.47111838256786975,-0.26361939364429854,0.45073712199598964,0.4914133570393459,-0.48371068362071107
25,0.42669327656209877,0.4077095846300701,-0.14895124945888558,0.34077725204524634,0.4706193293962532,-0.24656901059156514,0.4311527118330422,0.4930765852688486,-0.48514300882362865
26,0.4223981297822525,0.4075578572581001,-0.1276251008291343,0.3345951794144485,0.47053290840775164,-0.21715957542909953,0.412120798185989,0.49348843626415945,-0.45457057396094974
27,0.4166134669544074,0.4081206033862303,-0.12824120056374494,0.32886395548972575,0.47161613617349807,-0.18986647061700104,0.39418086746195136,0.49441355937319764,-0.402567981674766
28,0.4093232873579018,0.40942858030558216,-0.14584760039203454,0.32097188982626057,0.4738805489479701,-0.17192629262981357,0.38048946601558786,0.4973475887961115,-0.34955990624453176
