frame,shoulder_x,shoulder_y,shoulder_z,elbow_x,elbow_y,elbow_z,wrist_x,wrist_y,wrist_z
0,0.47803881764411926,0.3863365054130554,-0.1221255511045456,0.4200833737850189,0.449790894985199,-0.20832625031471252,0.5257307887077332,0.4738124907016754,-0.3950861096382141
1,0.4780545234680176,0.3881816267967224,-0.1962069571018219,0.4053729176521301,0.4523150324821472,-0.2775527536869049,0.5144999623298645,0.47264498472213745,-0.470786452293396
2,0.47804751992225647,0.3881363272666931,-0.24313108623027802,0.3983865976333618,0.4523159861564636,-0.31794530153274536,0.5090604424476624,0.47163039445877075,-0.5114394426345825
3,0.4769402742385864,0.390769898891449,-0.2776062488555908,0.3948461413383484,0.45845603942871094,-0.37323278188705444,0.5047165751457214,0.47074833512306213,-0.6401208639144897
4,0.48049864172935486,0.3921007215976715,-0.3544415235519409,0.3976651132106781,0.4578120708465576,-0.41700050234794617,0.5056023001670837,0.47071701288223267,-0.6371318101882935
5,0.48311442136764526,0.39366382360458374,-0.26750802993774414,0.39859721064567566,0.4586394429206848,-0.3777927756309509,0.5069776773452759,0.4706375002861023,-0.46245747804641724
6,0.48368334770202637,0.39404264092445374,-0.3112052381038666,0.39859822392463684,0.45937997102737427,-0.3905550241470337,0.5078738927841187,0.47049203515052795,-0.557852029800415
7,0.48362740874290466,0.3943471610546112,-0.1926536113023758,0.3989335000514984,0.4608030319213867,-0.2637508809566498,0.5118535161018372,0.47086939215660095,-0.35967493057250977
8,0.4836600422859192,0.39600658416748047,-0.12021832913160324,0.3992342948913574,0.462165892124176,-0.207638680934906,0.5169124007225037,0.47088366746902466,-0.3819144070148468
9,0.4842991828918457,0.3959594964981079,-0.158178448677063,0.39951756596565247,0.46171408891677856,-0.256456196308136,0.5206046104431152,0.47181233763694763,-0.483145534992218
10,0.4846556782722473,0.395733505487442,-0.22005107998847961,0.3999190032482147,0.4627044200897217,-0.28183531761169434,0.5317636728286743,0.475405752658844,-0.4217003583908081
11,0.4845973551273346,0.396125853061676,-0.19159634411334991,0.4001738131046295,0.4633293151855469,-0.23100195825099945,0.5343710780143738,0.4767776131629944,-0.3224959373474121
12,0.48156455159187317,0.39685899019241333,-0.2078244388103485,0.40061068534851074,0.46505776047706604,-0.2825937569141388,0.5331156253814697,0.47657865285873413,-0.37794461846351624
13,0.48050034046173096,0.39727136492729187,-0.15579742193222046,0.4017919898033142,0.4649844765663147,-0.21183013916015625,0.5345209240913391,0.47641268372535706,-0.325192391872406
14,0.4798040986061096,0.39745381474494934,-0.1520792692899704,0.40272238850593567,0.46491512656211853,-0.2086455523967743,0.5352150797843933,0.4762915074825287,-0.32861703634262085
15,0.4786131680011749,0.3973606824874878,-0.16069144010543823,0.40340644121170044,0.4647846817970276,-0.22521591186523438,0.5383139252662659,0.47622960805892944,-0.341409832239151
16,0.4734870195388794,0.3988736569881439,-0.22618530690670013,0.4026264548301697,0.4674100875854492,-0.30190885066986084,0.5405579805374146,0.47807151079177856,-0.41758066415786743
17,0.46788907051086426,0.40151095390319824,-0.19429035484790802,0.4024387300014496,0.46984386444091797,-0.29422569274902344,0.5418447852134705,0.48093047738075256,-0.41571465134620667
18,0.4637196362018585,0.40151533484458923,-0.17634278535842896,0.39890149235725403,0.4696352481842041,-0.25232404470443726,0.5395797491073608,0.4808173179626465,-0.38110047578811646
19,0.45482513308525085,0.40268611907958984,-0.12276257574558258,0.3979233205318451,0.46977657079696655,-0.22087088227272034,0.5316307544708252,0.4826267659664154,-0.36835429072380066
20,0.4540756940841675,0.4033888876438141,-0.0905141532421112,0.3960218131542206,0.4695407748222351,-0.19577094912528992,0.5203737020492554,0.48227348923683167,-0.3723803162574768
21,0.45034515857696533,0.40436530113220215,-0.1211472749710083,0.39031583070755005,0.4704628884792328,-0.21003159880638123,0.5156854391098022,0.4827352464199066,-0.45269593596458435
22,0.4428654611110687,0.40681973099708557,-0.12339680641889572,0.3780863881111145,0.47032037377357483,-0.19797354936599731,0.49219977855682373,0.4839128851890564,-0.3720107674598694
23,0.436909019947052,0.4072970449924469,-0.25391706824302673,0.36762359738349915,0.47126659750938416,-0.29472222924232483,0.4763377010822296,0.488881915807724,-0.47198837995529175
24,0.43055716156959534,0.4080177843570709,-0.140045627951622,0.3490567207336426,0.47138285636901855,-0.24508310854434967,0.44296979904174805,0.4913095533847809,-0.49638819694519043
25,0.4256419241428375,0.4077247083187103,-0.1428183615207672,0.33777308464050293,0.4705858826637268,-0.24489672482013702,0.4290275275707245,0.49284830689430237,-0.46794116497039795
